Composer's Name	Death Year
Ebûbekir Aða	1759
Edip Akbayram	
Edip Yücelen	1982
Edirneli Ahmet Çelebi	
Ekrem Güyer	1954
Emin Akan	
Emin Aldemir	
Emin Ongan	1985
Emin Yazýcý	1945
Emine Ertem	
Emriye Gürdal	
Enderûnî Hüseyin Fâzýl Bey	
Enderuni Mehmet	
Enderûnî Vâsýf	
Enfî Hasan Aða	1729
Engin Çýr	
Enis Behiç Koryürek	
Enîse Can	
Enverî	1959
Ercüment Berker	2009
Ercüment Er	
Erdal Eroðlu	
Erdal Ýyiöz	
Erdinç Çelikkol	
Erdoðan Berker	
Erdoðan Yýldýzel	
Ergin Þenyol	
Erkan Yolseven	
Erol Baþara	
Erol Bingöl	
Erol Köker	
Erol Özbayram	
Erol Sayan	
Erol Tanýr	
Ertuðrul Yalçýnkaya	
Erzurumlu Ýbrahim Hakký	
Esin Seçkin	
Eþrefoðlu Rumi	
Ethem Pertev Paþa	1872
Eyüp Göksu	
Eyyûbî Mehmed Bey	1850
F. Azize Sakaoðullarý	
Fahri Karaduman	
Fahri Kayahan	1969
Fahri Kopuz	1968
Fahri Kopuz-Sedat Öztoprak	
Fahri Önal	
Faik Ali Ozansoy	
Fâika Mücellâ	
Faiz Kapancý	1950
Faize Ergin	1954
Fâkih Fakýlar	
Fâkih Özlen	
Fârâbî	950
Faruk Kaleli	
Faruk Kaleli	
Faruk Kayacýklý	
Faruk Kestiren	
Faruk Nafiz Çamlýbel	1973
Faruk Þahin	
Faruk Þükrü Yersel	
Fâtine Talay	
Fatma Onur	
Fâzýl Ahmet Aykaç	
Fecrî	
Fecri Ebcioðlu	
Fehmi Hüsam Dede	
Fehmi Tokay	1959
Ferâizcizâde Ýbrahim Efendi	1903
Ferhat Erdem	
Feridun Darbaz	
Ferit Sýdal	2001
Feruh Arsunar	
Fethi Karamahmutoðlu	1999
Feyzullah Çelebi	
Fikret Þenes	
Fikri Akurgal	
Fitnat Haným	
Fitnat Saðlýk (Duyar)	
Fuad Edip Baksý	1974
Fuat Hulûsi Demirelli	
Fuat Tolga	
Fuzûlî	
Galatalý Osman Efendi	1680
Galip Çolakoðlu	
Galip Kurdoðlu	
Garbis Agopyan	
Garbis Efendi	1925
Gavsi Baykara	1967
Gazi Giray Han	1607
Genç Osman	
Gevherî	
Gevheri Osmanoðlu	
Gevrekzâde Mustafa Aða	1680
Giriftzen Asým Bey	1929
Giuseppe Donizetti	1856
Gonca Gül	
Göksel Baktagir	
Gönül Paçacý	
Gül Kansu	
Gülbenkyan	1940
Gülen Ertek	
Gültekin Çeki	
Gültekin Yertut	
Gülten Aksoy	
Gülten Çiçek	
Günay Þimþek	
Gündoðdu Duran	
Güngör Fahri Tüzün	
Gürol Bilgin	
Güzîde Ana	
Güzide Taranoðlu	
Güzin Gürman	
H. Avni Ozan	
Hacý Ârif Bey	1885
Hacý Bayram Veli	1429
Hacý Fâik Bey	1891
Hacý Kirâmî Efendi	1909
Hacý Mehmet Emin Zinhî	
Hacý Nafiz Bey	1898
Hacý Salih Aða	1725
Hacý Taþan	
Hadi Özkoray	
Hafýz Celal Sevimli	
Hâfýz Hüsnü Efendi (Enderûnlu)	1919
Hâfýz Kömür	1690
Hâfýz Kumral	
Hâfýz Mehmet Eþref Efendi	1930
Hâfýz Post	1694
Hafýz Rýfat Efendi	
Hâfýz Süleyman Rif`at Molla	
Hâfýz Þevki Bey	1916
