Composer's Name	Death Year
Turhan Sözkesen	
Turhan Taþan	
Turhan Yalçýn	
Tümay Baþer Üçok	
Türkân Þoray	
Udî Arþak Çömlekçiyan	1930
Udî Galip Bey	
Udî Hacý Kadri Þençalar	1989
Udî Hasan Bey	1920
Udî Hrant Kenkiloðlu	1978
Ûdi Mehmed Bey	
Udî Nevres Bey	1937
Udî Sami Bey	1939
Uður Gür	
Uður Uzunhekim	
Ulvî	
Ülkü Aker	
Ümit Gürelman	
Ümit Kaftancýoðlu	
Ümit Mutlu	
Ümit Tokcan	
Ümit Yaþar Oðuzcan	
Ünal Narçýn	
Üryânîzâde Sait Efendi	
Üzeyir Hacýbeyli	1948
Vahdettin	
Vahit Kaya	
Vardakosta Seyyid Ahmed Aða	1794
Vasfiye Haným	
Vâsýf	
Vasilâki	1907
Vecdi Bingöl	1973
Vecdi Seyhun	1984
Vecihe Daryal	1970
Vedat Çetinkaya	
Vedat Þenyol	
Vehbi Cem Aþkýn	
Veli Dede	1768
Veli Kangal	
Veli Kanýk	
Veliye Yakut	
Veysî	
Vural Þahin	
Y. Sinan Ozan	
Yaðcýoðlu Fehmi Efe	
Yahya Kemal Beyatlý	1958
Yahyâ Nazîm Çelebi	1727
Yalçýn Tura	
Yaþar Nâbi Nayýr	
Yaþar Þâdi	
Yavuz Aksoy	
Yener Topaloðlu	
Yeniköylü Hâdi Bey	1971
Yeniþehirli Avni Bey	
Yesârî Âsým Arsoy	1992
Yýldýrým Gürses	2000
Yýlmaz Karakoyunlu	
Yýlmaz Topuz	
Yýlmaz Yüksel	
Yorgo Bacanos	1977
Yunus Emre	1320
Yusuf Çelebi (Tiznam)	
Yusuf Ýzzettin Paþa	1922
Yusuf Kaya	
Yusuf Kenan Bey	
Yusuf Nalkesen	2003
Yusuf Nevþe	
Yusuf Ömürlü	
Yusuf Paþa	1884
Yusuf Tapan	
Yusuf Yýldýrým	
Yusuf Ziya Ortaç	
Yusuf Ziya Paþa	1882
Yüksel Kip	
Zaharya	1750
Zâkir Hacý Mehmed Efendi	
Zekâî Dede	1897
Zekâi Tunca	
Zeki Arif Ataergin	1964
Zeki Atkoþar	
Zeki Çavdaroðlu	
Zeki Duygulu	1973
Zeki Mehmed Aða	1846
Zeki Müren	1996
Zeki Üngör	1958
Zeynettin Maraþ	
Zivanis	
Ziya Paþa	1880
Ziya Paþa (Vezir)	
Ziya Taþkent	1999
Ziyaeddin Paþa (Vezir)	
Zurnazen Daði Ahmet Çelebi	1650
Zurnazen Ýbrahim Aða	1715
